frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,987.09,421.28,1
48,987.08,421.28,1
49,996.13,426.89,1
50,1005.18,436.65,1
51,1014.23,441.88,1
52,1014.23,441.86,1
53,1014.50,441.83,1
54,1021.96,447.30,1
55,1029.42,459.06,1
56,1036.88,477.11,1
57,1044.34,499.93,1
58,1051.79,518.41,1
59,1059.25,531.01,1
60,1066.71,537.75,1
61,1066.73,537.74,1
62,1074.29,525.68,1
63,1081.86,500.68,1
64,1089.43,491.43,1
65,1096.99,526.61,1
66,1107.62,606.20,1
67,1118.26,690.56,1
68,1130.33,740.01,1
69,1136.24,709.77,1
70,1134.58,709.59,1
71,1138.81,671.11,1
72,1143.71,632.62,1
73,1148.60,602.81,1
74,1153.49,582.64,1
75,1156.13,572.28,1
76,1158.77,563.04,1
77,1161.86,547.68,1
78,1151.36,534.68,1
79,1140.86,519.74,1
80,1101.25,497.13,1
81,1061.65,481.24,1
82,1061.66,481.25,1
83,1023.30,469.33,1
84,984.82,461.44,1
85,947.24,454.43,1
86,907.56,451.68,1
87,869.10,455.82,1
88,869.10,455.84,1
89,826.63,463.82,1
90,788.26,473.84,1
91,751.94,489.64,1
92,712.01,506.24,1
93,674.53,527.25,1
94,674.57,527.37,1
95,633.14,555.84,1
96,594.82,585.32,1
97,554.06,619.74,1
98,513.82,657.07,1
99,488.02,660.00,1
100,488.01,659.99,1
101,463.40,646.78,1
102,438.55,634.93,1
103,413.47,625.84,1
104,390.20,620.30,1
105,365.88,620.27,1
106,365.67,622.15,1
107,340.20,624.71,1
108,316.48,629.42,1
109,293.39,639.90,1
110,269.23,657.00,1
111,243.05,667.16,1
112,243.03,667.15,1
113,220.83,658.33,1
114,220.84,658.33,1
115,196.84,652.50,1
116,169.87,649.19,1
117,149.36,651.29,1
118,149.36,651.30,1
119,124.02,656.32,1
120,124.02,656.41,1
121,123.88,656.50,1
122,123.88,656.50,1
123,97.07,665.86,1
124,97.08,665.86,1
125,77.70,669.10,1
126,77.68,669.11,1
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,-1,-1,0
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,-1,-1,0
142,-1,-1,0
143,-1,-1,0
144,-1,-1,0
145,-1,-1,0
146,-1,-1,0
147,-1,-1,0
148,-1,-1,0
149,-1,-1,0
150,-1,-1,0
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,-1,-1,0
155,277.03,576.70,1
156,297.85,565.25,1
157,318.67,553.08,1
158,339.49,540.88,1
159,360.31,532.95,1
160,381.13,529.99,1
161,381.14,529.99,1
162,358.05,523.70,1
163,358.03,523.66,1
164,337.09,520.19,1
165,337.10,520.21,1
166,313.22,520.05,1
167,313.23,520.05,1
168,403.10,478.90,1
169,403.14,478.82,1
170,403.15,478.57,1
171,403.13,477.87,1
172,403.07,478.78,1
173,403.07,478.55,1
174,403.08,478.63,1
175,403.06,478.54,1
176,403.08,478.58,1
177,403.08,478.56,1
